ORIGIN,DEST,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,DISTANCE,YEAR,MONTH,CLASS
ART,DUB,EI,Aer Lingus Plc,54.00,9936.00,7521.00,3575.00,2993.00,2026,2,F
ART,DUB,EI,Aer Lingus Plc,60.00,11990.00,8803.00,7636.00,2993.00,2026,1,F
DUB,ART,EI,Aer Lingus Plc,60.00,11990.00,9447.00,63100.00,2993.00,2026,1,F
YTZ,ART,P3,Porter Airlines Inc. (PAI),68.00,5304.00,3491.00,0.00,434.00,2026,2,F
ART,YTZ,P3,Porter Airlines Inc. (PAI),69.00,5382.00,3551.00,0.00,434.00,2026,2,F
ART,YTZ,P3,Porter Airlines Inc. (PAI),73.00,5694.00,3311.00,0.00,434.00,2026,1,F
YUL,ART,QK,Jazz Aviation LP,73.00,5548.00,4050.00,0.00,254.00,2026,2,F
ART,YUL,QK,Jazz Aviation LP,75.00,5700.00,4344.00,0.00,254.00,2026,2,F
YTZ,ART,P3,Porter Airlines Inc. (PAI),76.00,5928.00,4326.00,0.00,434.00,2026,1,F
ART,YUL,QK,Jazz Aviation LP,82.00,6232.00,4438.00,0.00,254.00,2026,1,F
YUL,ART,QK,Jazz Aviation LP,83.00,6308.00,5200.00,0.00,254.00,2026,1,F
YYZ,ART,QK,Jazz Aviation LP,85.00,6460.00,5890.00,0.00,446.00,2026,1,F
ART,YYZ,QK,Jazz Aviation LP,87.00,6612.00,5854.00,0.00,446.00,2026,2,F
ART,YYZ,QK,Jazz Aviation LP,88.00,6688.00,5186.00,0.00,446.00,2026,1,F
YYZ,ART,QK,Jazz Aviation LP,88.00,6688.00,5807.00,0.00,446.00,2026,2,F
ART,NAS,DL,Delta Air Lines Inc.,1.00,109.00,95.00,0.00,1250.00,2026,1,F
NAS,ART,DL,Delta Air Lines Inc.,1.00,109.00,104.00,0.00,1250.00,2026,1,F
MBJ,ART,B6,JetBlue Airways,1.00,140.00,125.00,0.00,1693.00,2026,2,F
ART,POP,B6,JetBlue Airways,1.00,140.00,127.00,0.00,1558.00,2026,2,F
ART,MBJ,B6,JetBlue Airways,1.00,140.00,132.00,0.00,1693.00,2026,2,F
POP,ART,B6,JetBlue Airways,1.00,140.00,135.00,0.00,1558.00,2026,2,F
ART,PLS,B6,JetBlue Airways,1.00,140.00,138.00,0.00,1421.00,2026,2,F
PLS,ART,B6,JetBlue Airways,1.00,140.00,139.00,0.00,1421.00,2026,2,F
ART,PLS,DL,Delta Air Lines Inc.,1.00,160.00,126.00,0.00,1421.00,2026,2,F
ART,BDA,B6,JetBlue Airways,1.00,162.00,68.00,0.00,772.00,2026,2,F
BGI,ART,B6,JetBlue Airways,1.00,162.00,76.00,0.00,2132.00,2026,2,F
ART,BGI,B6,JetBlue Airways,1.00,162.00,93.00,0.00,2132.00,2026,2,F
ART,GCM,B6,JetBlue Airways,1.00,162.00,145.00,0.00,1701.00,2026,1,F
GCM,ART,B6,JetBlue Airways,1.00,162.00,154.00,0.00,1701.00,2026,1,F
PUJ,ART,AA,American Airlines Inc.,1.00,190.00,130.00,0.00,1646.00,2026,2,F
ART,PUJ,AA,American Airlines Inc.,1.00,190.00,171.00,0.00,1646.00,2026,1,F
BDA,ART,B6,JetBlue Airways,1.00,159.00,64.00,0.00,772.00,2026,2,F
ART,MBJ,B6,JetBlue Airways,1.00,159.00,105.00,0.00,1693.00,2026,1,F
ART,BDA,B6,JetBlue Airways,1.00,159.00,122.00,0.00,772.00,2026,2,F
ART,PLS,B6,JetBlue Airways,1.00,159.00,139.00,0.00,1421.00,2026,1,F
MBJ,ART,B6,JetBlue Airways,1.00,159.00,140.00,0.00,1693.00,2026,1,F
